avg. temp.
0.0000000000 300.2949735049
0.1000000000 311.2451874869
0.2000000000 317.0194849851
0.3000000000 321.3537675985
0.4000000000 324.9097568948
0.5000000000 327.9612426143
0.6000000000 330.6530624457
0.7000000000 333.0726764748
0.8000000000 335.2775445636
0.9000000000 337.3076983967
1.0000000000 339.1922626334
1.1000000000 340.9531490883
1.2000000000 342.6072933613
1.3000000000 344.1680805832
1.4000000000 345.6462921130
1.5000000000 347.0507552774
1.6000000000 348.3888016998
1.7000000000 349.6665982129
1.8000000000 350.8893906288
1.9000000000 352.0616865115
2.0000000000 353.1873943815
2.1000000000 354.2699312396
2.2000000000 355.3123066831
2.3000000000 356.3171894732
2.4000000000 357.2869607755
2.5000000000 358.2237571545
2.6000000000 359.1295056084
2.7000000000 360.0059523531
2.8000000000 360.8546866576
2.9000000000 361.6771607217
3.0000000000 362.4747063700
3.1000000000 363.2485491598
3.2000000000 363.9998203778
3.3000000000 364.7295673000
3.4000000000 365.4387620141
3.5000000000 366.1283090461
3.6000000000 366.7990519851
3.7000000000 367.4517792654
3.8000000000 368.0872292356
3.9000000000 368.7060946210
4.0000000000 369.3090264689
4.1000000000 369.8966376488
4.2000000000 370.4695059697
4.3000000000 371.0281769656
4.4000000000 371.5731663931
4.5000000000 372.1049624776
4.6000000000 372.6240279380
4.7000000000 373.1308018197
4.8000000000 373.6257011553
4.9000000000 374.1091224749
5.0000000000 374.5814431823
5.1000000000 375.0430228116
5.2000000000 375.4942041771
5.3000000000 375.9353144285
5.4000000000 376.3666660193
5.5000000000 376.7885575996
5.6000000000 377.2012748378
5.7000000000 377.6050911810
5.8000000000 378.0002685574
5.9000000000 378.3870580278
6.0000000000 378.7657003894
6.1000000000 379.1364267378
6.2000000000 379.4994589888
6.3000000000 379.8550103652
6.4000000000 380.2032858510
6.5000000000 380.5444826148
6.6000000000 380.8787904063
6.7000000000 381.2063919273
6.8000000000 381.5274631790
6.9000000000 381.8421737882
7.0000000000 382.1506873128
7.1000000000 382.4531615297
7.2000000000 382.7497487053
7.3000000000 383.0405958495
7.4000000000 383.3258449560
7.5000000000 383.6056332283
7.6000000000 383.8800932931
7.7000000000 384.1493534019
7.8000000000 384.4135376210
7.9000000000 384.6727660123
8.0000000000 384.9271548034
8.1000000000 385.1768165489
8.2000000000 385.4218602839
8.3000000000 385.6623916685
8.4000000000 385.8985131256
8.5000000000 386.1303239720
8.6000000000 386.3579205419
8.7000000000 386.5813963054
8.8000000000 386.8008419802
8.9000000000 387.0163456390
9.0000000000 387.2279928104
9.1000000000 387.4358665762
9.2000000000 387.6400476636
9.3000000000 387.8406145327
9.4000000000 388.0376434607
9.5000000000 388.2312086219
9.6000000000 388.4213821639
9.7000000000 388.6082342808
9.8000000000 388.7918332826
9.9000000000 388.9722456619
10.0000000000 389.1495361575

