max. temp.
0.0000000000 316.4292724073
0.1000000000 391.0855262132
0.2000000000 393.9316650027
0.3000000000 395.2861623530
0.4000000000 397.7947471711
0.5000000000 398.9291734714
0.6000000000 399.4639378301
0.7000000000 399.7241357346
0.8000000000 399.8540209224
0.9000000000 399.9203795248
1.0000000000 399.9550939408
1.1000000000 399.9737307451
1.2000000000 399.9840301096
1.3000000000 399.9899065384
1.4000000000 399.9933754237
1.5000000000 399.9954955292
1.6000000000 399.9968361246
1.7000000000 399.9977114642
1.8000000000 399.9983001193
1.9000000000 399.9987066964
2.0000000000 399.9989943751
2.1000000000 399.9992024482
2.2000000000 399.9993560229
2.3000000000 399.9994715353
2.4000000000 399.9995599771
2.5000000000 399.9996288386
2.6000000000 399.9996833096
2.7000000000 399.9997270409
2.8000000000 399.9997626369
2.9000000000 399.9997919810
3.0000000000 399.9998164626
3.1000000000 399.9998527160
3.2000000000 399.9998800789
3.3000000000 399.9999010061
3.4000000000 399.9999172215
3.5000000000 399.9999299478
3.6000000000 399.9999400605
3.7000000000 399.9999481932
3.8000000000 399.9999548091
3.9000000000 399.9999602504
4.0000000000 399.9999647723
4.1000000000 399.9999685674
4.2000000000 399.9999717821
4.3000000000 399.9999745289
4.4000000000 399.9999768952
4.5000000000 399.9999789491
4.6000000000 399.9999807444
4.7000000000 399.9999823240
4.8000000000 399.9999837220
4.9000000000 399.9999849663
5.0000000000 399.9999860792
5.1000000000 399.9999870794
5.2000000000 399.9999879819
5.3000000000 399.9999887994
5.4000000000 399.9999895427
5.5000000000 399.9999902204
5.6000000000 399.9999908403
5.7000000000 399.9999914088
5.8000000000 399.9999919314
5.9000000000 399.9999924128
6.0000000000 399.9999928573
6.1000000000 399.9999932685
6.2000000000 399.9999936495
6.3000000000 399.9999940031
6.4000000000 399.9999943317
6.5000000000 399.9999946377
6.6000000000 399.9999949229
6.7000000000 399.9999951890
6.8000000000 399.9999954377
6.9000000000 399.9999956703
7.0000000000 399.9999958881
7.1000000000 399.9999960923
7.2000000000 399.9999962839
7.3000000000 399.9999964639
7.4000000000 399.9999966331
7.5000000000 399.9999967923
7.6000000000 399.9999969422
7.7000000000 399.9999970834
7.8000000000 399.9999972167
7.9000000000 399.9999973424
8.0000000000 399.9999974612
8.1000000000 399.9999975735
8.2000000000 399.9999976797
8.3000000000 399.9999977803
8.4000000000 399.9999978755
8.5000000000 399.9999979657
8.6000000000 399.9999980513
8.7000000000 399.9999981325
8.8000000000 399.9999982096
8.9000000000 399.9999982828
9.0000000000 399.9999983524
9.1000000000 399.9999984186
9.2000000000 399.9999984816
9.3000000000 399.9999985416
9.4000000000 399.9999985987
9.5000000000 399.9999986531
9.6000000000 399.9999987049
9.7000000000 399.9999987544
9.8000000000 399.9999988015
9.9000000000 399.9999988466
10.0000000000 399.9999988896

