min. temp.
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000000000
0.3000000000 300.0000000000
0.4000000000 300.0000000009
0.5000000000 300.0000000823
0.6000000000 300.0000019506
0.7000000000 300.0000207402
0.8000000000 300.0001297438
0.9000000000 300.0005607641
1.0000000000 300.0018534884
1.1000000000 300.0050117003
1.2000000000 300.0116137247
1.3000000000 300.0238426377
1.4000000000 300.0444307005
1.5000000000 300.0765355186
1.6000000000 300.1235761882
1.7000000000 300.1890578303
1.8000000000 300.2764069129
1.9000000000 300.3888317645
2.0000000000 300.5292152494
2.1000000000 300.7000408874
2.2000000000 300.9033499532
2.3000000000 301.1407250348
2.4000000000 301.4132947210
2.5000000000 301.7217541100
2.6000000000 302.0663963318
2.7000000000 302.4471510044
2.8000000000 302.8636263408
2.9000000000 303.3151523787
3.0000000000 303.8008234769
3.1000000000 304.3195387851
3.2000000000 304.8700398463
3.3000000000 305.4509448467
3.4000000000 306.0607792884
3.5000000000 306.6980030572
3.6000000000 307.3610339894
3.7000000000 308.0482681313
3.8000000000 308.7580969383
3.9000000000 309.4889216900
4.0000000000 310.2391654058
4.1000000000 311.0072825448
4.2000000000 311.7917667586
4.3000000000 312.5911569521
4.4000000000 313.4040418839
4.5000000000 314.2290635178
4.6000000000 315.0649193156
4.7000000000 315.9103636374
4.8000000000 316.7642083993
4.9000000000 317.6253231166
5.0000000000 318.4926344447
5.1000000000 319.3651253156
5.2000000000 320.2418337510
5.3000000000 321.1218514254
5.4000000000 322.0043220367
5.5000000000 322.8884395371
5.6000000000 323.7734462643
5.7000000000 324.6586310117
5.8000000000 325.5433270628
5.9000000000 326.4269102169
6.0000000000 327.3087968244
6.1000000000 328.1884418463
6.2000000000 329.0653369526
6.3000000000 329.9390086666
6.4000000000 330.8090165643
6.5000000000 331.6749515338
6.6000000000 332.5364340976
6.7000000000 333.3931128017
6.8000000000 334.2446626714
6.9000000000 335.0907837361
7.0000000000 335.9311996202
7.1000000000 336.7656562023
7.2000000000 337.5939203387
7.3000000000 338.4157786519
7.4000000000 339.2310363798
7.5000000000 340.0395162865
7.6000000000 340.8410576289
7.7000000000 341.6355151798
7.8000000000 342.4227583042
7.9000000000 343.2026700847
8.0000000000 343.9751464973
8.1000000000 344.7400956309
8.2000000000 345.4974369521
8.3000000000 346.2471006103
8.4000000000 346.9890267824
8.5000000000 347.7231650546
8.6000000000 348.4494738392
8.7000000000 349.1679198248
8.8000000000 349.8784774572
8.9000000000 350.5811284511
9.0000000000 351.2758613280
9.1000000000 351.9626709822
9.2000000000 352.6415582703
9.3000000000 353.3125296248
9.4000000000 353.9755966898
9.5000000000 354.6307759766
9.6000000000 355.2780885404
9.7000000000 355.9175596739
9.8000000000 356.5492186196
9.9000000000 357.1730982973
10.0000000000 357.7892350483

