top particle
0.0000000000 0.0000000000
0.1000000000 0.0000000000
0.2000000000 0.0000000000
0.3000000000 0.0000000000
0.4000000000 0.0000000080
0.5000000000 0.0000004719
0.6000000000 0.0000081329
0.7000000000 0.0000657892
0.8000000000 0.0003237580
0.9000000000 0.0011296973
1.0000000000 0.0030776456
1.1000000000 0.0069763617
1.2000000000 0.0137461208
1.3000000000 0.0242851386
1.4000000000 0.0393481185
1.5000000000 0.0594628810
1.6000000000 0.0848922772
1.7000000000 0.1156356808
1.8000000000 0.1514585288
1.9000000000 0.1919377168
2.0000000000 0.2365127304
2.1000000000 0.2845353729
2.2000000000 0.3353137870
2.3000000000 0.3881487115
2.4000000000 0.4423614818
2.5000000000 0.4973142500
2.6000000000 0.5524234143
2.7000000000 0.6071674488
2.8000000000 0.6610903353
2.9000000000 0.7138016877
3.0000000000 0.7649745139
3.1000000000 0.8143413825
3.2000000000 0.8616896083
3.3000000000 0.9068559182
3.4000000000 0.9497209455
3.5000000000 0.9902037937
3.6000000000 1.0282568393
3.7000000000 1.0638608772
3.8000000000 1.0970206699
3.9000000000 1.1277609287
4.0000000000 1.1561227284
4.1000000000 1.1821603452
4.2000000000 1.2059384945
4.3000000000 1.2275299378
4.4000000000 1.2470134286
4.5000000000 1.2644719629
4.6000000000 1.2799913004
4.7000000000 1.2936587269
4.8000000000 1.3055620258
4.9000000000 1.3157886343
5.0000000000 1.3244249568
5.1000000000 1.3315558154
5.2000000000 1.3372640171
5.3000000000 1.3416300194
5.4000000000 1.3447316805
5.5000000000 1.3466440796
5.6000000000 1.3474393959
5.7000000000 1.3471868370
5.8000000000 1.3459526067
5.9000000000 1.3437999060
6.0000000000 1.3407889609
6.1000000000 1.3369770705
6.2000000000 1.3324186724
6.3000000000 1.3271654207
6.4000000000 1.3212662733
6.5000000000 1.3147675861
6.6000000000 1.3077132125
6.7000000000 1.3001446049
6.8000000000 1.2921009177
6.9000000000 1.2836191112
7.0000000000 1.2747340535
7.1000000000 1.2654786215
7.2000000000 1.2558837994
7.3000000000 1.2459787749
7.4000000000 1.2357910312
7.5000000000 1.2253464375
7.6000000000 1.2146693341
7.7000000000 1.2037826154
7.8000000000 1.1927078084
7.9000000000 1.1814651482
8.0000000000 1.1700736492
8.1000000000 1.1585511735
8.2000000000 1.1469144953
8.3000000000 1.1351793624
8.4000000000 1.1233605539
8.5000000000 1.1114719353
8.6000000000 1.0995265107
8.7000000000 1.0875364713
8.8000000000 1.0755132420
8.9000000000 1.0634675253
9.0000000000 1.0514093423
9.1000000000 1.0393480717
9.2000000000 1.0272924863
9.3000000000 1.0152507881
9.4000000000 1.0032306402
9.5000000000 0.9912391980
9.6000000000 0.9792831379
9.7000000000 0.9673686846
9.8000000000 0.9555016371
9.9000000000 0.9436873922
10.0000000000 0.9319309680

