top particle
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000000000
0.3000000000 300.0000000000
0.4000000000 300.0000000010
0.5000000000 300.0000000854
0.6000000000 300.0000020040
0.7000000000 300.0000211724
0.8000000000 300.0001318708
0.9000000000 300.0005681857
1.0000000000 300.0018737073
1.1000000000 300.0050575320
1.2000000000 300.0117040310
1.3000000000 300.0240021809
1.4000000000 300.0446892012
1.5000000000 300.0769261648
1.6000000000 300.1241338950
1.7000000000 300.1898175084
1.8000000000 300.2774019322
1.9000000000 300.3900927150
2.0000000000 300.5307690391
2.1000000000 300.7019101658
2.2000000000 300.9055528247
2.3000000000 301.1432750096
2.4000000000 301.4162008510
2.5000000000 301.7250212568
2.6000000000 302.0700255227
2.7000000000 302.4511398407
2.8000000000 302.8679694279
2.9000000000 303.3198417574
3.0000000000 303.8058490397
3.1000000000 304.3248886675
3.2000000000 304.8757007868
3.3000000000 305.4569025110
3.4000000000 306.0670185580
3.5000000000 306.7045082822
3.6000000000 307.3677892070
3.7000000000 308.0552572525
3.8000000000 308.7653039056
3.9000000000 309.4963306079
4.0000000000 310.2467606489
4.1000000000 311.0150488441
4.2000000000 311.7996892704
4.3000000000 312.5992213107
4.4000000000 313.4122342408
4.5000000000 314.2373705700
4.6000000000 315.0733283234
4.7000000000 315.9188624345
4.8000000000 316.7727853961
4.9000000000 317.6339672979
5.0000000000 318.5013353631
5.1000000000 319.3738730807
5.2000000000 320.2506190166
5.3000000000 321.1306653738
5.4000000000 322.0131563618
5.5000000000 322.8972864258
5.6000000000 323.7822983779
5.7000000000 324.6674814661
5.8000000000 325.5521694088
5.9000000000 326.4357384206
6.0000000000 327.3176052474
6.1000000000 328.1972252268
6.2000000000 329.0740903863
6.3000000000 329.9477275886
6.4000000000 330.8176967314
6.5000000000 331.6835890073
6.6000000000 332.5450252268
6.7000000000 333.4016542083
6.8000000000 334.2531512344
6.9000000000 335.0992165771
7.0000000000 335.9395740901
7.1000000000 336.7739698679
7.2000000000 337.6021709703
7.3000000000 338.4239642116
7.4000000000 339.2391550103
7.5000000000 340.0475663004
7.6000000000 340.8490374987
7.7000000000 341.6434235284
7.8000000000 342.4305938959
7.9000000000 343.2104318169
8.0000000000 343.9828333921
8.1000000000 344.7477068279
8.2000000000 345.5049717010
8.3000000000 346.2545582642
8.4000000000 346.9964067917
8.5000000000 347.7304669606
8.6000000000 348.4566972688
8.7000000000 349.1750644848
8.8000000000 349.8855431297
8.9000000000 350.5881149882
9.0000000000 351.2827686479
9.1000000000 351.9694990645
9.2000000000 352.6483071525
9.3000000000 353.3191993981
9.4000000000 353.9821874957
9.5000000000 354.6372880038
9.6000000000 355.2845220213
9.7000000000 355.9239148818
9.8000000000 356.5554958659
9.9000000000 357.1792979290
10.0000000000 357.7953574452

