mid-top particle
0.0000000000 300.0000000000
0.1100000000 300.0000000392
0.2000000000 300.0000616570
0.3000000000 300.0022350136
0.4000000000 300.0181820092
0.5000000000 300.0735090770
0.6000000000 300.2004202439
0.7000000000 300.4271906061
0.8000000000 300.7722678880
0.9000000000 301.2434614401
1.0000000000 301.8398729283
1.1000000000 302.5545907265
1.2000000000 303.3771402932
1.3000000000 304.2953555765
1.4000000000 305.2966633741
1.5000000000 306.3688900912
1.6000000000 307.5007196942
1.7000000000 308.6819141417
1.8000000000 309.9033811549
1.9000000000 311.1571496992
2.0000000000 312.4362941192
2.1000000000 313.7348335919
2.2000000000 315.0476235601
2.3000000000 316.3702490275
2.4000000000 317.6989251452
2.5000000000 319.0304076739
2.6000000000 320.3619141624
2.7000000000 321.6910556537
2.8000000000 323.0157781791
2.9000000000 324.3343130360
3.0000000000 325.6451347657
3.1000000000 326.9469257686
3.2000000000 328.2385465746
3.3000000000 329.5190108863
3.4000000000 330.7874646294
3.5000000000 332.0431683471
3.6000000000 333.2854823811
3.7000000000 334.5138543653
3.8000000000 335.7278086405
3.9000000000 336.9269372620
4.0000000000 338.1108923285
4.1000000000 339.2793794097
4.2000000000 340.4321518867
4.3000000000 341.5690060535
4.4000000000 342.6897768546
4.5000000000 343.7943341556
4.6000000000 344.8825794609
4.7000000000 345.9544430109
4.8000000000 347.0098811982
4.9000000000 348.0488742571
5.0000000000 349.0714241871
5.1000000000 350.0775528763
5.2000000000 351.0673003987
5.3000000000 352.0407234630
5.4000000000 352.9978939932
5.5000000000 353.9388978260
5.6000000000 354.8638335109
5.7000000000 355.7728112031
5.8000000000 356.6659516383
5.9000000000 357.5433851815
6.0000000000 358.4052509445
6.1000000000 359.2516959632
6.2000000000 360.0828744324
6.3000000000 360.8989469919
6.4000000000 361.7000800598
6.5000000000 362.4864452110
6.6000000000 363.2582185958
6.7000000000 364.0155803974
6.8000000000 364.7587143248
6.9000000000 365.4878071393
7.0000000000 366.2030482124
7.1000000000 366.9046291127
7.2000000000 367.5927432210
7.3000000000 368.2675853710
7.4000000000 368.9293515151
7.5000000000 369.5782384120
7.6000000000 370.2144433378
7.7000000000 370.8381638159
7.8000000000 371.4495973675
7.9000000000 372.0489412796
8.0000000000 372.6363923903
8.1000000000 373.2121468906
8.2000000000 373.7764001409
8.3000000000 374.3293465025
8.4000000000 374.8711791822
8.5000000000 375.4020900899
8.6000000000 375.9222697077
8.7000000000 376.4319069713
8.8000000000 376.9311891609
8.9000000000 377.4203018026
9.0000000000 377.8994285796
9.1000000000 378.3687512511
9.2000000000 378.8284495804
9.3000000000 379.2787012703
9.4000000000 379.7196819062
9.5000000000 380.1515649049
9.6000000000 380.5745214715
9.7000000000 380.9887205602
9.8000000000 381.3943288424
9.9000000000 381.7915106788
10.0000000000 382.1804280972

