avg. temp.
0.0000000000 300.9312100789
0.1000000000 312.7654181520
0.2000000000 318.4658634440
0.3000000000 322.7356668252
0.4000000000 326.2613403937
0.5000000000 329.3104726179
0.6000000000 332.0206949150
0.7000000000 334.4739060417
0.8000000000 336.7235282063
0.9000000000 338.8066985487
1.0000000000 340.7504717838
1.1000000000 342.5752786441
1.2000000000 344.2969915038
1.3000000000 345.9282262532
1.4000000000 347.4791993483
1.5000000000 348.9583129873
1.6000000000 350.3725673971
1.7000000000 351.7278594015
1.8000000000 353.0292039334
1.9000000000 354.2809019095
2.0000000000 355.4866698337
2.1000000000 356.6497414649
2.2000000000 357.7729486629
2.3000000000 358.8587864233
2.4000000000 359.9094657012
2.5000000000 360.9269566691
2.6000000000 361.9130243846
2.7000000000 362.8692583720
2.8000000000 363.7970972808
2.9000000000 364.6978495285
3.0000000000 365.5727106516
3.1000000000 366.4227779395
3.2000000000 367.2490628177
3.3000000000 368.0525013589
3.4000000000 368.8339632316
3.5000000000 369.5942593400
3.6000000000 370.3341483663
3.7000000000 371.0543423883
3.8000000000 371.7555117175
3.9000000000 372.4382890783
4.0000000000 373.1032732285
4.1000000000 373.7510321064
4.2000000000 374.3821055742
4.3000000000 374.9970078175
4.4000000000 375.5962294515
4.5000000000 376.1802393757
4.6000000000 376.7494864128
4.7000000000 377.3044007619
4.8000000000 377.8453952920
4.9000000000 378.3728666978
5.0000000000 378.8871965346
5.1000000000 379.3887521507
5.2000000000 379.8778875281
5.3000000000 380.3549440452
5.4000000000 380.8202511695
5.5000000000 381.2741270899
5.6000000000 381.7168792957
5.7000000000 382.1488051078
5.8000000000 382.5701921685
5.9000000000 382.9813188936
6.0000000000 383.3824548918
6.1000000000 383.7738613540
6.2000000000 384.1557914159
6.3000000000 384.5284904969
6.4000000000 384.8921966170
6.5000000000 385.2471406943
6.6000000000 385.5935468243
6.7000000000 385.9316325432
6.8000000000 386.2616090764
6.9000000000 386.5836815732
7.0000000000 386.8980493286
7.1000000000 387.2049059944
7.2000000000 387.5044397787
7.3000000000 387.7968336361
7.4000000000 388.0822654488
7.5000000000 388.3609081983
7.6000000000 388.6329301302
7.7000000000 388.8984949111
7.8000000000 389.1577617782
7.9000000000 389.4108856829
8.0000000000 389.6580174279
8.1000000000 389.8993037991
8.2000000000 390.1348876910
8.3000000000 390.3649082282
8.4000000000 390.5895008811
8.5000000000 390.8087975777
8.6000000000 391.0229268106
8.7000000000 391.2320137398
8.8000000000 391.4361802926
8.9000000000 391.6355452582
9.0000000000 391.8302243801
9.1000000000 392.0203304449
9.2000000000 392.2059733670
9.3000000000 392.3872602718
9.4000000000 392.5642955743
9.5000000000 392.7371810567
9.6000000000 392.9060159417
9.7000000000 393.0708969644
9.8000000000 393.2319184414
9.9000000000 393.3891723377
10.0000000000 393.5427483310

