min. temp.
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000013526
0.3000000000 300.0005102820
0.4000000000 300.0095456110
0.5000000000 300.0556690117
0.6000000000 300.1820013856
0.7000000000 300.4274361759
0.8000000000 300.8158270873
0.9000000000 301.3552348103
1.0000000000 302.0417555372
1.1000000000 302.8640271159
1.2000000000 303.8068775755
1.3000000000 304.8538380521
1.4000000000 305.9886968183
1.5000000000 307.1963627505
1.6000000000 308.4632729412
1.7000000000 309.7775183233
1.8000000000 311.1288061046
1.9000000000 312.5083361114
2.0000000000 313.9086389944
2.1000000000 315.3234047989
2.2000000000 316.7473178472
2.3000000000 318.1759060092
2.4000000000 319.6054076758
2.5000000000 321.0326569760
2.6000000000 322.4549862767
2.7000000000 323.8701442733
2.8000000000 325.2762277118
2.9000000000 326.6716247803
3.0000000000 328.0549683378
3.1000000000 329.4250973519
3.2000000000 330.7810251265
3.3000000000 332.1219131197
3.4000000000 333.4470493401
3.5000000000 334.7558304859
3.6000000000 336.0477471353
3.7000000000 337.3223714239
3.8000000000 338.5793467472
3.9000000000 339.8183791139
4.0000000000 341.0392298453
4.1000000000 342.2417093738
4.2000000000 343.4256719418
4.3000000000 344.5910110393
4.4000000000 345.7376554496
4.5000000000 346.8655657975
4.6000000000 347.9747315149
4.7000000000 349.0651681549
4.8000000000 350.1369149973
4.9000000000 351.1900329018
5.0000000000 352.2246023699
5.1000000000 353.2407217874
5.2000000000 354.2385058210
5.3000000000 355.2180839508
5.4000000000 356.1795991199
5.5000000000 357.1232064899
5.6000000000 358.0490722885
5.7000000000 358.9573727410
5.8000000000 359.8482930785
5.9000000000 360.7220266133
6.0000000000 361.5787738789
6.1000000000 362.4187418272
6.2000000000 363.2421430800
6.3000000000 364.0491952299
6.4000000000 364.8401201886
6.5000000000 365.6151435778
6.6000000000 366.3744941614
6.7000000000 367.1184033164
6.8000000000 367.8471045387
6.9000000000 368.5608329844
7.0000000000 369.2598250416
7.1000000000 369.9443179334
7.2000000000 370.6145493490
7.3000000000 371.2707571015
7.4000000000 371.9131788116
7.5000000000 372.5420516143
7.6000000000 373.1576118892
7.7000000000 373.7600950112
7.8000000000 374.3497351218
7.9000000000 374.9267649189
8.0000000000 375.4914154646
8.1000000000 376.0439160098
8.2000000000 376.5844938339
8.3000000000 377.1133741004
8.4000000000 377.6307797250
8.5000000000 378.1369312579
8.6000000000 378.6320467775
8.7000000000 379.1163417960
8.8000000000 379.5900291752
8.9000000000 380.0533190531
9.0000000000 380.5064187786
9.1000000000 380.9495328563
9.2000000000 381.3828628981
9.3000000000 381.8066075838
9.4000000000 382.2209626270
9.5000000000 382.6261207495
9.6000000000 383.0222716597
9.7000000000 383.4096020388
9.8000000000 383.7882955302
9.9000000000 384.1585327350
10.0000000000 384.5204912118

