mid-top particle
0.0000000000 0.0000000000
0.1000000000 16.3926245317
0.2000000000 8.2495144207
0.3000000000 4.8321279584
0.4000000000 3.1478540303
0.5000000000 2.2064432003
0.6000000000 1.6299933996
0.7000000000 1.2523700842
0.8000000000 0.9919151106
0.9000000000 0.8048626473
1.0000000000 0.6660980308
1.1000000000 0.5603929732
1.2000000000 0.4780839975
1.3000000000 0.4127993588
1.4000000000 0.3601977929
1.5000000000 0.3172365344
1.6000000000 0.2817298344
1.7000000000 0.2520735872
1.8000000000 0.2270683629
1.9000000000 0.2058025845
2.0000000000 0.1875735105
2.1000000000 0.1718325887
2.2000000000 0.1581468984
2.3000000000 0.1461714390
2.4000000000 0.1356288837
2.5000000000 0.1262945632
2.6000000000 0.1179851788
2.7000000000 0.1105502163
2.8000000000 0.1038653426
2.9000000000 0.0978272791
3.0000000000 0.0923497868
3.1000000000 0.0873604964
3.2000000000 0.0827983898
3.3000000000 0.0786117848
3.4000000000 0.0747567133
3.5000000000 0.0711956101
3.6000000000 0.0678962464
3.7000000000 0.0648308590
3.8000000000 0.0619754361
3.9000000000 0.0593091292
4.0000000000 0.0568137668
4.1000000000 0.0544734510
4.2000000000 0.0522742215
4.3000000000 0.0502037752
4.4000000000 0.0482512308
4.5000000000 0.0464069310
4.6000000000 0.0446622760
4.7000000000 0.0430095819
4.8000000000 0.0414419616
4.9000000000 0.0399532224
5.0000000000 0.0385377793
5.1000000000 0.0371905805
5.2000000000 0.0359070436
5.3000000000 0.0346830008
5.4000000000 0.0335146512
5.5000000000 0.0323985198
5.6000000000 0.0313314223
5.7000000000 0.0303104335
5.8000000000 0.0293328608
5.9000000000 0.0283962200
6.0000000000 0.0274982154
6.1000000000 0.0266367207
6.2000000000 0.0258097633
6.3000000000 0.0250155102
6.4000000000 0.0242522552
6.5000000000 0.0235184077
6.6000000000 0.0228124828
6.7000000000 0.0221330924
6.8000000000 0.0214789371
6.9000000000 0.0208487993
7.0000000000 0.0202415361
7.1000000000 0.0196560745
7.2000000000 0.0190914053
7.3000000000 0.0185465784
7.4000000000 0.0180206991
7.5000000000 0.0175129236
7.6000000000 0.0170224554
7.7000000000 0.0165485423
7.8000000000 0.0160904734
7.9000000000 0.0156475759
8.0000000000 0.0152192133
8.1000000000 0.0148047823
8.2000000000 0.0144037113
8.3000000000 0.0140154579
8.4000000000 0.0136395075
8.5000000000 0.0132753713
8.6000000000 0.0129225848
8.7000000000 0.0125807066
8.8000000000 0.0122493167
8.9000000000 0.0119280152
9.0000000000 0.0116164215
9.1000000000 0.0113141731
9.2000000000 0.0110209242
9.3000000000 0.0107363451
9.4000000000 0.0104601213
9.5000000000 0.0101919527
9.6000000000 0.0099315526
9.7000000000 0.0096786469
9.8000000000 0.0094329739
9.9000000000 0.0091942832
10.0000000000 0.0000000000

