mid particle
0.0000000000 0.0000000000
0.1000000000 0.0066138459
0.2000000000 0.0533508356
0.3000000000 0.0606943470
0.4000000000 0.0434617882
0.5000000000 0.0260931967
0.6000000000 0.0144048016
0.7000000000 0.0075968354
0.8000000000 0.0038983126
0.9000000000 0.0019655594
1.0000000000 0.0009792791
1.1000000000 0.0004837689
1.2000000000 0.0002374942
1.3000000000 0.0001160411
1.4000000000 0.0000564913
1.5000000000 0.0000274222
1.6000000000 0.0000132810
1.7000000000 0.0000064204
1.8000000000 0.0000030992
1.9000000000 0.0000014942
2.0000000000 0.0000007197
2.1000000000 0.0000003464
2.2000000000 0.0000001666
2.3000000000 0.0000000801
2.4000000000 0.0000000385
2.5000000000 0.0000000185
2.6000000000 0.0000000089
2.7000000000 0.0000000043
2.8000000000 0.0000000020
2.9000000000 0.0000000010
3.0000000000 0.0000000005
3.1000000000 0.0000000002
3.2000000000 0.0000000001
3.3000000000 0.0000000001
3.4000000000 0.0000000000
3.5000000000 0.0000000000
3.6000000000 0.0000000000
3.7000000000 0.0000000000
3.8000000000 0.0000000000
3.9000000000 0.0000000000
4.0000000000 0.0000000000
4.1000000000 0.0000000000
4.2000000000 0.0000000000
4.3000000000 0.0000000000
4.4000000000 0.0000000000
4.5000000000 0.0000000000
4.6000000000 0.0000000000
4.7000000000 0.0000000000
4.8000000000 0.0000000000
4.9000000000 0.0000000000
5.0000000000 0.0000000000
5.1000000000 0.0000000000
5.2000000000 0.0000000000
5.3000000000 0.0000000000
5.4000000000 0.0000000000
5.5000000000 0.0000000000
5.6000000000 0.0000000000
5.7000000000 0.0000000000
5.8000000000 0.0000000000
5.9000000000 0.0000000000
6.0000000000 0.0000000000
6.1000000000 0.0000000000
6.2000000000 0.0000000000
6.3000000000 0.0000000000
6.4000000000 0.0000000000
6.5000000000 0.0000000000
6.6000000000 0.0000000000
6.7000000000 0.0000000000
6.8000000000 0.0000000000
6.9000000000 0.0000000000
7.0000000000 0.0000000000
7.1000000000 0.0000000000
7.2000000000 0.0000000000
7.3000000000 0.0000000000
7.4000000000 0.0000000000
7.5000000000 0.0000000000
7.6000000000 0.0000000000
7.7000000000 0.0000000000
7.8000000000 0.0000000000
7.9000000000 0.0000000000
8.0000000000 0.0000000000
8.1000000000 0.0000000000
8.2000000000 0.0000000000
8.3000000000 0.0000000000
8.4000000000 0.0000000000
8.5000000000 0.0000000000
8.6000000000 0.0000000000
8.7000000000 0.0000000000
8.8000000000 0.0000000000
8.9000000000 0.0000000000
9.0000000000 0.0000000000
9.1000000000 0.0000000000
9.2000000000 0.0000000000
9.3000000000 0.0000000000
9.4000000000 0.0000000000
9.5000000000 0.0000000000
9.6000000000 0.0000000000
9.7000000000 0.0000000000
9.8000000000 0.0000000000
9.9000000000 0.0000000000
10.0000000000 0.0000000000

