mid particle
0.0000000000 300.0000000000
0.1000000000 300.0082047252
0.2000000000 300.2743492623
0.3000000000 300.8020195806
0.4000000000 301.2599935116
0.5000000000 301.5583905634
0.6000000000 301.7300107641
0.7000000000 301.8226238706
0.8000000000 301.8708188905
0.9000000000 301.8953420123
1.0000000000 301.9076367214
1.1000000000 301.9137377083
1.2000000000 301.9167428157
1.3000000000 301.9182148487
1.4000000000 301.9189328732
1.5000000000 301.9192819584
1.6000000000 301.9194512342
1.7000000000 301.9195331480
1.8000000000 301.9195727205
1.9000000000 301.9195918121
2.0000000000 301.9196010127
2.1000000000 301.9196054427
2.2000000000 301.9196075740
2.3000000000 301.9196085989
2.4000000000 301.9196090914
2.5000000000 301.9196093281
2.6000000000 301.9196094417
2.7000000000 301.9196094963
2.8000000000 301.9196095224
2.9000000000 301.9196095350
3.0000000000 301.9196095410
3.1000000000 301.9196095439
3.2000000000 301.9196095453
3.3000000000 301.9196095460
3.4000000000 301.9196095463
3.5000000000 301.9196095465
3.6000000000 301.9196095465
3.7000000000 301.9196095466
3.8000000000 301.9196095466
3.9000000000 301.9196095466
4.0000000000 301.9196095466
4.1000000000 301.9196095466
4.2000000000 301.9196095466
4.3000000000 301.9196095466
4.4000000000 301.9196095466
4.5000000000 301.9196095466
4.6000000000 301.9196095466
4.7000000000 301.9196095466
4.8000000000 301.9196095466
4.9000000000 301.9196095466
5.0000000000 301.9196095466
5.1000000000 301.9196095466
5.2000000000 301.9196095466
5.3000000000 301.9196095466
5.4000000000 301.9196095466
5.5000000000 301.9196095466
5.6000000000 301.9196095466
5.7000000000 301.9196095466
5.8000000000 301.9196095466
5.9000000000 301.9196095466
6.0000000000 301.9196095466
6.1000000000 301.9196095466
6.2000000000 301.9196095466
6.3000000000 301.9196095466
6.4000000000 301.9196095466
6.5000000000 301.9196095466
6.6000000000 301.9196095466
6.7000000000 301.9196095466
6.8000000000 301.9196095466
6.9000000000 301.9196095466
7.0000000000 301.9196095466
7.1000000000 301.9196095466
7.2000000000 301.9196095466
7.3000000000 301.9196095466
7.4000000000 301.9196095466
7.5000000000 301.9196095466
7.6000000000 301.9196095466
7.7000000000 301.9196095466
7.8000000000 301.9196095466
7.9000000000 301.9196095466
8.0000000000 301.9196095466
8.1000000000 301.9196095466
8.2000000000 301.9196095466
8.3000000000 301.9196095466
8.4000000000 301.9196095466
8.5000000000 301.9196095466
8.6000000000 301.9196095466
8.7000000000 301.9196095466
8.8000000000 301.9196095466
8.9000000000 301.9196095466
9.0000000000 301.9196095466
9.1000000000 301.9196095466
9.2000000000 301.9196095466
9.3000000000 301.9196095466
9.4000000000 301.9196095466
9.5000000000 301.9196095466
9.6000000000 301.9196095466
9.7000000000 301.9196095466
9.8000000000 301.9196095466
9.9000000000 301.9196095466
10.0000000000 301.9196095466

