avg. temp.
0.0000000000 300.2695041269
0.1000000000 311.6916269360
0.2000000000 317.7034654386
0.3000000000 322.1700207300
0.4000000000 325.8229986800
0.5000000000 328.9537053728
0.6000000000 331.7131700204
0.7000000000 334.1918092616
0.8000000000 336.4488793680
0.9000000000 338.5256960184
1.0000000000 340.4523932540
1.1000000000 342.2517171981
1.2000000000 343.9413094649
1.3000000000 345.5351578010
1.4000000000 347.0445581049
1.5000000000 348.4787751171
1.6000000000 349.8455095823
1.7000000000 351.1512368446
1.8000000000 352.4014575539
1.9000000000 353.6008867870
2.0000000000 354.7535990760
2.1000000000 355.8631412532
2.2000000000 356.9326214038
2.3000000000 357.9647798016
2.4000000000 358.9620460710
2.5000000000 359.9265856829
2.6000000000 360.8603380971
2.7000000000 361.7650482920
2.8000000000 362.6422930119
2.9000000000 363.4935027560
3.0000000000 364.3199803078
3.1000000000 365.1229164347
3.2000000000 365.9034032548
3.3000000000 366.6624456724
3.4000000000 367.4009712018
3.5000000000 368.1198384429
3.6000000000 368.8198444203
3.7000000000 369.5017309622
3.8000000000 370.1661902635
3.9000000000 370.8138697540
4.0000000000 371.4453763717
4.1000000000 372.0612803247
4.2000000000 372.6621184142
4.3000000000 373.2483969763
4.4000000000 373.8205944946
4.5000000000 374.3791639264
4.6000000000 374.9245347791
4.7000000000 375.4571149679
4.8000000000 375.9772924829
4.9000000000 376.4854368875
5.0000000000 376.9819006691
5.1000000000 377.4670204592
5.2000000000 377.9411181380
5.3000000000 378.4045018357
5.4000000000 378.8574668438
5.5000000000 379.3002964445
5.6000000000 379.7332626679
5.7000000000 380.1566269839
5.8000000000 380.5706409373
5.9000000000 380.9755467292
6.0000000000 381.3715777525
6.1000000000 381.7589590845
6.2000000000 382.1379079419
6.3000000000 382.5086341008
6.4000000000 382.8713402852
6.5000000000 383.2262225275
6.6000000000 383.5734705032
6.7000000000 383.9132678413
6.8000000000 384.2457924139
6.9000000000 384.5712166060
7.0000000000 384.8897075673
7.1000000000 385.2014274472
7.2000000000 385.5065336153
7.3000000000 385.8051788673
7.4000000000 386.0975116187
7.5000000000 386.3836760867
7.6000000000 386.6638124604
7.7000000000 386.9380570623
7.8000000000 387.2065424992
7.9000000000 387.4693978053
8.0000000000 387.7267485772
8.1000000000 387.9787171014
8.2000000000 388.2254224747
8.3000000000 388.4669807187
8.4000000000 388.7035048880
8.5000000000 388.9351051730
8.6000000000 389.1618889973
8.7000000000 389.3839611107
8.8000000000 389.6014236772
8.9000000000 389.8143763592
9.0000000000 390.0229163976
9.1000000000 390.2271386877
9.2000000000 390.4271358528
9.3000000000 390.6229983132
9.4000000000 390.8148143530
9.5000000000 391.0026701840
9.6000000000 391.1866500063
9.7000000000 391.3668360669
9.8000000000 391.5433087156
9.9000000000 391.7161464590
10.0000000000 391.8854260120

