max. temp.
0.0000000000 319.5708433885
0.1000000000 391.9944190489
0.2000000000 396.4562485401
0.3000000000 397.7478860961
0.4000000000 398.3421330391
0.5000000000 398.6891585229
0.6000000000 398.9305055455
0.7000000000 399.0982036876
0.8000000000 399.2211790319
0.9000000000 399.3150646664
1.0000000000 399.3890031752
1.1000000000 399.4486843960
1.2000000000 399.4978314779
1.3000000000 399.5389827453
1.4000000000 399.5739284936
1.5000000000 399.6039676716
1.6000000000 399.6300654068
1.7000000000 399.6529533811
1.8000000000 399.6731959246
1.9000000000 399.6912348031
2.0000000000 399.7074203430
2.1000000000 399.7220335450
2.2000000000 399.7353021057
2.3000000000 399.7474122255
2.4000000000 399.7585174446
2.5000000000 399.7687453442
2.6000000000 399.7782026904
2.7000000000 399.7869794246
2.8000000000 399.7951517890
2.9000000000 399.8027847960
3.0000000000 399.8099341946
3.1000000000 399.8166480470
3.2000000000 399.8229680020
3.3000000000 399.8289303285
3.4000000000 399.8345667599
3.5000000000 399.8399051877
3.6000000000 399.8449702330
3.7000000000 399.8497837210
3.8000000000 399.8543650759
3.9000000000 399.8587316510
4.0000000000 399.8628990065
4.1000000000 399.8668811427
4.2000000000 399.8706906984
4.3000000000 399.8743391193
4.4000000000 399.8778368013
4.5000000000 399.8811932134
4.6000000000 399.8844170034
4.7000000000 399.8875160889
4.8000000000 399.8904977364
4.9000000000 399.8933686294
5.0000000000 399.8961349285
5.1000000000 399.8988023234
5.2000000000 399.9013760787
5.3000000000 399.9038610744
5.4000000000 399.9062618414
5.5000000000 399.9085825932
5.6000000000 399.9108272539
5.7000000000 399.9129994833
5.8000000000 399.9151026992
5.9000000000 399.9171400974
6.0000000000 399.9191146699
6.1000000000 399.9210292211
6.2000000000 399.9228863824
6.3000000000 399.9246886255
6.4000000000 399.9264382745
6.5000000000 399.9281375170
6.6000000000 399.9297884139
6.7000000000 399.9313929084
6.8000000000 399.9329528349
6.9000000000 399.9344699261
7.0000000000 399.9359458201
7.1000000000 399.9373820671
7.2000000000 399.9387801352
7.3000000000 399.9401414158
7.4000000000 399.9414672285
7.5000000000 399.9427588263
7.6000000000 399.9440173992
7.7000000000 399.9452440789
7.8000000000 399.9464399417
7.9000000000 399.9476060127
8.0000000000 399.9487432684
8.1000000000 399.9498526400
8.2000000000 399.9509350159
8.3000000000 399.9519912444
8.4000000000 399.9530221361
8.5000000000 399.9540284658
8.6000000000 399.9550109751
8.7000000000 399.9559703739
8.8000000000 399.9569073421
8.9000000000 399.9578225318
9.0000000000 399.9587165683
9.1000000000 399.9595900520
9.2000000000 399.9604435594
9.3000000000 399.9612776446
9.4000000000 399.9620928403
9.5000000000 399.9628896593
9.6000000000 399.9636685951
9.7000000000 399.9644301232
9.8000000000 399.9651747018
9.9000000000 399.9659027728
10.0000000000 399.9666147625

