min. temp.
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000000024
0.3000000000 300.0000021858
0.4000000000 300.0001041323
0.5000000000 300.0012565536
0.6000000000 300.0071450356
0.7000000000 300.0257371444
0.8000000000 300.0688547954
0.9000000000 300.1501606015
1.0000000000 300.2829035197
1.1000000000 300.4783017243
1.2000000000 300.7447508993
1.3000000000 301.0876802570
1.4000000000 301.5080646873
1.5000000000 302.0068681476
1.6000000000 302.5831660439
1.7000000000 303.2342619270
1.8000000000 303.9564830121
1.9000000000 304.7454879806
2.0000000000 305.5965131599
2.1000000000 306.5045648155
2.2000000000 307.4645664437
2.3000000000 308.4714695137
2.4000000000 309.5203350346
2.5000000000 310.6063921071
2.6000000000 311.7250784799
2.7000000000 312.8720671366
2.8000000000 314.0432821238
2.9000000000 315.2349061595
3.0000000000 316.4433820319
3.1000000000 317.6654093703
3.2000000000 318.8979380328
3.3000000000 320.1381590876
3.4000000000 321.3834941496
3.5000000000 322.6315836661
3.6000000000 323.8802746083
3.7000000000 325.1276079199
3.8000000000 326.3718059869
3.9000000000 327.6112603250
4.0000000000 328.8445196301
4.1000000000 330.0702782899
4.2000000000 331.2873654269
4.3000000000 332.4947345138
4.4000000000 333.6914535827
4.5000000000 334.8766960362
4.6000000000 336.0497320542
4.7000000000 337.2099205842
4.8000000000 338.3567018950
4.9000000000 339.4895906705
5.0000000000 340.6081696164
5.1000000000 341.7120835535
5.2000000000 342.8010339662
5.3000000000 343.8747739798
5.4000000000 344.9331037362
5.5000000000 345.9758661410
5.6000000000 347.0029429565
5.7000000000 348.0142512125
5.8000000000 349.0097399134
5.9000000000 349.9893870175
6.0000000000 350.9531966674
6.1000000000 351.9011966520
6.2000000000 352.8334360812
6.3000000000 353.7499832559
6.4000000000 354.6509237183
6.5000000000 355.5363584666
6.6000000000 356.4064023213
6.7000000000 357.2611824306
6.8000000000 358.1008369025
6.9000000000 358.9255135549
7.0000000000 359.7353687712
7.1000000000 360.5305664557
7.2000000000 361.3112770776
7.3000000000 362.0776767985
7.4000000000 362.8299466750
7.5000000000 363.5682719309
7.6000000000 364.2928412930
7.7000000000 365.0038463850
7.8000000000 365.7014811751
7.9000000000 366.3859414726
8.0000000000 367.0574244696
8.1000000000 367.7161283239
8.2000000000 368.3622517797
8.3000000000 368.9959938235
8.4000000000 369.6175533713
8.5000000000 370.2271289858
8.6000000000 370.8249186198
8.7000000000 371.4111193851
8.8000000000 371.9859273435
8.9000000000 372.5495373188
9.0000000000 373.1021427280
9.1000000000 373.6439354301
9.2000000000 374.1751055906
9.3000000000 374.6958415619
9.4000000000 375.2063297759
9.5000000000 375.7067546500
9.6000000000 376.1972985045
9.7000000000 376.6781414901
9.8000000000 377.1494615256
9.9000000000 377.6114342437
10.0000000000 378.0642329456

