mid-top particle
0.0000000000 0.0000000000
0.1000000000 0.0000000000
0.2000000000 0.0000000884
0.3000000000 0.0000280226
0.4000000000 0.0006487808
0.5000000000 0.0045739353
0.6000000000 0.0170468890
0.7000000000 0.0434743872
0.8000000000 0.0869694771
0.9000000000 0.1476716648
1.0000000000 0.2234249387
1.1000000000 0.3108452941
1.2000000000 0.4062104457
1.3000000000 0.5060180132
1.4000000000 0.6072586045
1.5000000000 0.7075007026
1.6000000000 0.8048715161
1.7000000000 0.8979903819
1.8000000000 0.9858874716
1.9000000000 1.0679244349
2.0000000000 1.1437241157
2.1000000000 1.2131114163
2.2000000000 1.2760649855
2.3000000000 1.3326784400
2.4000000000 1.3831295779
2.5000000000 1.4276561241
2.6000000000 1.4665367336
2.7000000000 1.5000762022
2.8000000000 1.5285940281
2.9000000000 1.5524156404
3.0000000000 1.5718657472
3.1000000000 1.5872633675
3.2000000000 1.5989181959
3.3000000000 1.6071280234
3.4000000000 1.6121769875
3.5000000000 1.6143344732
3.6000000000 1.6138545182
3.7000000000 1.6109756080
3.8000000000 1.6059207656
3.9000000000 1.5988978618
4.0000000000 1.5901000862
4.1000000000 1.5797065315
4.2000000000 1.5678828538
4.3000000000 1.5547819787
4.4000000000 1.5405448319
4.5000000000 1.5253010751
4.6000000000 1.5091698347
4.7000000000 1.4922604146
4.8000000000 1.4746729833
4.9000000000 1.4564992330
5.0000000000 1.4378230064
5.1000000000 1.4187208885
5.2000000000 1.3992627646
5.3000000000 1.3795123420
5.4000000000 1.3595276384
5.5000000000 1.3393614350
5.6000000000 1.3190616993
5.7000000000 1.2986719752
5.8000000000 1.2782317449
5.9000000000 1.2577767626
6.0000000000 1.2373393632
6.1000000000 1.2169487454
6.2000000000 1.1966312334
6.3000000000 1.1764105173
6.4000000000 1.1563078740
6.5000000000 1.1363423700
6.6000000000 1.1165310483
6.7000000000 1.0968890988
6.8000000000 1.0774300162
6.9000000000 1.0581657434
7.0000000000 1.0391068042
7.1000000000 1.0202624246
7.2000000000 1.0016406435
7.3000000000 0.9832484158
7.4000000000 0.9650917050
7.5000000000 0.9471755698
7.6000000000 0.9295042429
7.7000000000 0.9120812029
7.8000000000 0.8949092413
7.9000000000 0.8779905229
8.0000000000 0.8613266420
8.1000000000 0.8449186740
8.2000000000 0.8287672219
8.3000000000 0.8128724602
8.4000000000 0.7972341744
8.5000000000 0.7818517975
8.6000000000 0.7667244437
8.7000000000 0.7518509392
8.8000000000 0.7372298502
8.9000000000 0.7228595094
9.0000000000 0.7087380396
9.1000000000 0.6948633755
9.2000000000 0.6812332842
9.3000000000 0.6678453837
9.4000000000 0.6546971595
9.5000000000 0.6417859806
9.6000000000 0.6291091139
9.7000000000 0.6166637370
9.8000000000 0.6044469503
9.9000000000 0.5924557886
10.0000000000 0.5806872306

