mid-top particle
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000000080
0.3000000000 300.0000047789
0.4000000000 300.0001784438
0.5000000000 300.0018480062
0.6000000000 300.0094984855
0.7000000000 300.0319185396
0.8000000000 300.0812808212
0.9000000000 300.1709892913
1.0000000000 300.3135951465
1.1000000000 300.5194406703
1.2000000000 300.7960783142
1.3000000000 301.1482482310
1.4000000000 301.5781696576
1.5000000000 302.0859635016
1.6000000000 302.6700953503
1.7000000000 303.3277824300
1.8000000000 304.0553419479
1.9000000000 304.8484767603
2.0000000000 305.7025030825
2.1000000000 306.6125282747
2.2000000000 307.5735872760
2.3000000000 308.5807455697
2.4000000000 309.6291754380
2.5000000000 310.7142110929
2.6000000000 311.8313872157
2.7000000000 312.9764645366
2.8000000000 314.1454453578
2.9000000000 315.3345813283
3.0000000000 316.5403753070
3.1000000000 317.7595787745
3.2000000000 318.9891859500
3.3000000000 320.2264255315
3.4000000000 321.4687507802
3.5000000000 322.7138285205
3.6000000000 323.9595274951
3.7000000000 325.2039064209
3.8000000000 326.4452020062
3.9000000000 327.6818171278
4.0000000000 328.9123093133
4.1000000000 330.1353796342
4.2000000000 331.3498620810
4.3000000000 332.5547134678
4.4000000000 333.7490038922
4.5000000000 334.9319077626
4.6000000000 336.1026953905
4.7000000000 337.2607251404
4.8000000000 338.4054361195
4.9000000000 339.5363413867
5.0000000000 340.6530216586
5.1000000000 341.7551194848
5.2000000000 342.8423338675
5.3000000000 343.9144152970
5.4000000000 344.9711611764
5.5000000000 346.0124116106
5.6000000000 347.0380455318
5.7000000000 348.0479771390
5.8000000000 349.0421526273
5.9000000000 350.0205471854
6.0000000000 350.9831622408
6.1000000000 351.9300229331
6.2000000000 352.8611757970
6.3000000000 353.7766866397
6.4000000000 354.6766385948
6.5000000000 355.5611303409
6.6000000000 356.4302744694
6.7000000000 357.2841959907
6.8000000000 358.1230309661
6.9000000000 358.9469252569
7.0000000000 359.7560333793
7.1000000000 360.5505174567
7.2000000000 361.3305462629
7.3000000000 362.0962943460
7.4000000000 362.8479412289
7.5000000000 363.5856706786
7.6000000000 364.3096700388
7.7000000000 365.0201296211
7.8000000000 365.7172421498
7.9000000000 366.4012022551
8.0000000000 367.0722060119
8.1000000000 367.7304505202
8.2000000000 368.3761335228
8.3000000000 369.0094530579
8.4000000000 369.6306071448
8.5000000000 370.2397934971
8.6000000000 370.8372092651
8.7000000000 371.4230508010
8.8000000000 371.9975134485
8.9000000000 372.5607913521
9.0000000000 373.1130772864
9.1000000000 373.6545625028
9.2000000000 374.1854365926
9.3000000000 374.7058873647
9.4000000000 375.2161007371
9.5000000000 375.7162606413
9.6000000000 376.2065489378
9.7000000000 376.6871453422
9.8000000000 377.1582273618
9.9000000000 377.6199702397
10.0000000000 378.0725469087

