avg. temp.
0.0000000000 300.3160308089
0.1000000000 308.8053525035
0.2000000000 312.8458618288
0.3000000000 315.9653221722
0.4000000000 318.5955334486
0.5000000000 320.9061269952
0.6000000000 322.9859212160
0.7000000000 324.8886310322
0.8000000000 326.6497235454
0.9000000000 328.2940770409
1.0000000000 329.8399443300
1.1000000000 331.3011941263
1.2000000000 332.6886642417
1.3000000000 334.0110212094
1.4000000000 335.2753293664
1.5000000000 336.4874408050
1.6000000000 337.6522705529
1.7000000000 338.7739957748
1.8000000000 339.8562032226
1.9000000000 340.9020005422
2.0000000000 341.9141017690
2.1000000000 342.8948940154
2.2000000000 343.8464902076
2.3000000000 344.7707713028
2.4000000000 345.6694204590
2.5000000000 346.5439509659
2.6000000000 347.3957292815
2.7000000000 348.2259941861
2.8000000000 349.0358728281
2.9000000000 349.8263942570
3.0000000000 350.5985009110
3.1000000000 351.3530584232
3.2000000000 352.0908640412
3.3000000000 352.8126538911
3.4000000000 353.5191092766
3.5000000000 354.2108621646
3.6000000000 354.8884999846
3.7000000000 355.5525698440
3.8000000000 356.2035822447
3.9000000000 356.8420143731
4.0000000000 357.4683130212
4.1000000000 358.0828971901
4.2000000000 358.6861604173
4.3000000000 359.2784728626
4.4000000000 359.8601831846
4.5000000000 360.4316202318
4.6000000000 360.9930945712
4.7000000000 361.5448998734
4.8000000000 362.0873141697
4.9000000000 362.6206009972
5.0000000000 363.1450104414
5.1000000000 363.6607800898
5.2000000000 364.1681359039
5.3000000000 364.6672930188
5.4000000000 365.1584564768
5.5000000000 365.6418219019
5.6000000000 366.1175761213
5.7000000000 366.5858977374
5.8000000000 367.0469576561
5.9000000000 367.5009195747
6.0000000000 367.9479404332
6.1000000000 368.3881708317
6.2000000000 368.8217554176
6.3000000000 369.2488332440
6.4000000000 369.6695381032
6.5000000000 370.0839988353
6.6000000000 370.4923396160
6.7000000000 370.8946802237
6.8000000000 371.2911362880
6.9000000000 371.6818195216
7.0000000000 372.0668379359
7.1000000000 372.4462960421
7.2000000000 372.8202950391
7.3000000000 373.1889329881
7.4000000000 373.5523049766
7.5000000000 373.9105032713
7.6000000000 374.2636174601
7.7000000000 374.6117345864
7.8000000000 374.9549392738
7.9000000000 375.2933138430
8.0000000000 375.6269384214
8.1000000000 375.9558910457
8.2000000000 376.2802477581
8.3000000000 376.6000826967
8.4000000000 376.9154681801
8.5000000000 377.2264747868
8.6000000000 377.5331714299
8.7000000000 377.8356254276
8.8000000000 378.1339025688
8.9000000000 378.4280671754
9.0000000000 378.7181821606
9.1000000000 379.0043090841
9.2000000000 379.2865082040
9.3000000000 379.5648385254
9.4000000000 379.8393578469
9.5000000000 380.1101228039
9.6000000000 380.3771889097
9.7000000000 380.6406105947
9.8000000000 380.9004412427
9.9000000000 381.1567332261
10.0000000000 381.4095379385

