max. temp.
0.0000000000 323.7204605461
0.1000000000 384.9843793916
0.2000000000 389.2589201049
0.3000000000 391.2703489627
0.4000000000 392.5206121697
0.5000000000 393.3954117125
0.6000000000 394.0505004712
0.7000000000 394.5636410260
0.8000000000 394.9787945358
0.9000000000 395.3230075357
1.0000000000 395.6139797974
1.1000000000 395.8638498819
1.2000000000 396.0812533744
1.3000000000 396.2725179963
1.4000000000 396.4423950665
1.5000000000 396.5945267076
1.6000000000 396.7317549174
1.7000000000 396.8563321035
1.8000000000 396.9700681107
1.9000000000 397.0744351241
2.0000000000 397.1706439376
2.1000000000 397.2597003338
2.2000000000 397.3424473876
2.3000000000 397.4195976371
2.4000000000 397.4917578513
2.5000000000 397.5594483114
2.6000000000 397.6231179789
2.7000000000 397.6831565415
2.8000000000 397.7399040643
2.9000000000 397.7936587890
3.0000000000 397.8446834834
3.1000000000 397.8932106494
3.2000000000 397.9394468236
3.3000000000 397.9835761522
3.4000000000 398.0257633791
3.5000000000 398.0661563598
3.6000000000 398.1048881857
3.7000000000 398.1420789896
3.8000000000 398.1778374876
3.9000000000 398.2122623006
4.0000000000 398.2454430939
4.1000000000 398.2774615622
4.2000000000 398.3083922851
4.3000000000 398.3383034730
4.4000000000 398.3672576194
4.5000000000 398.3953120739
4.6000000000 398.4225195465
4.7000000000 398.4489285533
4.8000000000 398.4745838117
4.9000000000 398.4995265912
5.0000000000 398.5237950266
5.1000000000 398.5474243977
5.2000000000 398.5704473795
5.3000000000 398.5928942673
5.4000000000 398.6147931797
5.5000000000 398.6361702405
5.6000000000 398.6570497443
5.7000000000 398.6774543060
5.8000000000 398.6974049964
5.9000000000 398.7169214655
6.0000000000 398.7360220548
6.1000000000 398.7547238995
6.2000000000 398.7730430219
6.3000000000 398.7909944172
6.4000000000 398.8085921308
6.5000000000 398.8258493308
6.6000000000 398.8427783730
6.7000000000 398.8593908617
6.8000000000 398.8756977046
6.9000000000 398.8917091641
7.0000000000 398.9074349041
7.1000000000 398.9228840333
7.2000000000 398.9380651448
7.3000000000 398.9529863527
7.4000000000 398.9676553266
7.5000000000 398.9820793222
7.6000000000 398.9962652106
7.7000000000 399.0102195048
7.8000000000 399.0239483845
7.9000000000 399.0374577188
8.0000000000 399.0507530878
8.1000000000 399.0638398012
8.2000000000 399.0767229175
8.3000000000 399.0894072600
8.4000000000 399.1018974327
8.5000000000 399.1141978345
8.6000000000 399.1263126729
8.7000000000 399.1382459759
8.8000000000 399.1500016037
8.9000000000 399.1615832596
9.0000000000 399.1729944995
9.1000000000 399.1842387413
9.2000000000 399.1953192731
9.3000000000 399.2062392617
9.4000000000 399.2170017594
9.5000000000 399.2276097112
9.6000000000 399.2380659608
9.7000000000 399.2483732567
9.8000000000 399.2585342577
9.9000000000 399.2685515381
10.0000000000 399.2784275920

