min. temp.
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000000000
0.3000000000 300.0000000001
0.4000000000 300.0000000233
0.5000000000 300.0000012287
0.6000000000 300.0000200178
0.7000000000 300.0001587924
0.8000000000 300.0007846678
0.9000000000 300.0027932962
1.0000000000 300.0078488970
1.1000000000 300.0184912465
1.2000000000 300.0380707504
1.3000000000 300.0705437909
1.4000000000 300.1201940851
1.5000000000 300.1913442506
1.6000000000 300.2881026650
1.7000000000 300.4141687794
1.8000000000 300.5727027024
1.9000000000 300.7662539662
2.0000000000 300.9967390172
2.1000000000 301.2654554334
2.2000000000 301.5731215457
2.3000000000 301.9199318776
2.4000000000 302.3056208703
2.5000000000 302.7295293218
2.6000000000 303.1906696543
2.7000000000 303.6877874777
2.8000000000 304.2194179439
2.9000000000 304.7839361387
3.0000000000 305.3796012853
3.1000000000 306.0045948815
3.2000000000 306.6570531143
3.3000000000 307.3350940223
3.4000000000 308.0368399355
3.5000000000 308.7604357365
3.6000000000 309.5040634763
3.7000000000 310.2659538427
3.8000000000 311.0443949408
3.9000000000 311.8377387974
4.0000000000 312.6444059564
4.1000000000 313.4628884848
4.2000000000 314.2917516697
4.3000000000 315.1296346450
4.4000000000 315.9752501543
4.5000000000 316.8273836241
4.6000000000 317.6848916941
4.7000000000 318.5467003302
4.8000000000 319.4118026218
4.9000000000 320.2792563502
5.0000000000 321.1481813994
5.1000000000 322.0177570666
5.2000000000 322.8872193202
5.3000000000 323.7558580436
5.4000000000 324.6230142955
5.5000000000 325.4880776100
5.6000000000 326.3504833562
5.7000000000 327.2097101715
5.8000000000 328.0652774787
5.9000000000 328.9167430944
6.0000000000 329.7637009353
6.1000000000 330.6057788228
6.2000000000 331.4426363903
6.3000000000 332.2739630911
6.4000000000 333.0994763069
6.5000000000 333.9189195550
6.6000000000 334.7320607921
6.7000000000 335.5386908112
6.8000000000 336.3386217293
6.9000000000 337.1316855612
7.0000000000 337.9177328776
7.1000000000 338.6966315417
7.2000000000 339.4682655225
7.3000000000 340.2325337795
7.4000000000 340.9893492168
7.5000000000 341.7386377008
7.6000000000 342.4803371405
7.7000000000 343.2143966253
7.8000000000 343.9407756172
7.9000000000 344.6594431950
8.0000000000 345.3703773469
8.1000000000 346.0735643089
8.2000000000 346.7689979463
8.3000000000 347.4566791750
8.4000000000 348.1366154212
8.5000000000 348.8088201169
8.6000000000 349.4733122281
8.7000000000 350.1301158144
8.8000000000 350.7792596187
8.9000000000 351.4207766834
9.0000000000 352.0547039928
9.1000000000 352.6810821395
9.2000000000 353.2999550133
9.3000000000 353.9113695110
9.4000000000 354.5153752667
9.5000000000 355.1120243993
9.6000000000 355.7013712783
9.7000000000 356.2834723056
9.8000000000 356.8583857113
9.9000000000 357.4261713656
10.0000000000 357.9868906017

