mid-top particle
0.0000000000 0.0000000000
0.1000000000 0.0000000000
0.2000000000 0.0000000000
0.3000000000 0.0000000033
0.4000000000 0.0000009240
0.5000000000 0.0000332874
0.6000000000 0.0003893664
0.7000000000 0.0023049952
0.8000000000 0.0087727086
0.9000000000 0.0246941455
1.0000000000 0.0560976511
1.1000000000 0.1088811861
1.2000000000 0.1876933743
1.3000000000 0.2952869287
1.4000000000 0.4323699304
1.5000000000 0.5978169140
1.6000000000 0.7890697278
1.7000000000 1.0025923672
1.8000000000 1.2342946682
1.9000000000 1.4798831000
2.0000000000 1.7351263336
2.1000000000 1.9960400896
2.2000000000 2.2590036051
2.3000000000 2.5208223617
2.4000000000 2.7787510424
2.5000000000 3.0304886734
2.6000000000 3.2741555153
2.7000000000 3.5082589803
2.8000000000 3.7316538861
2.9000000000 3.9435007686
3.0000000000 4.1432247491
3.1000000000 4.3304765404
3.2000000000 4.5050965093
3.3000000000 4.6670822545
3.4000000000 4.8165598377
3.5000000000 4.9537586013
3.6000000000 5.0789893785
3.7000000000 5.1926258271
3.8000000000 5.2950885877
3.9000000000 5.3868319530
4.0000000000 5.4683327480
4.1000000000 5.5400811341
4.2000000000 5.6025730755
4.3000000000 5.6563042306
4.4000000000 5.7017650576
4.5000000000 5.7394369477
4.6000000000 5.7697892241
4.7000000000 5.7932768658
4.8000000000 5.8103388345
4.9000000000 5.8213969007
5.0000000000 5.8268548803
5.1000000000 5.8270982069
5.2000000000 5.8224937747
5.3000000000 5.8133899996
5.4000000000 5.8001170533
5.5000000000 5.7829872315
5.6000000000 5.7622954259
5.7000000000 5.7383196748
5.8000000000 5.7113217678
5.9000000000 5.6815478910
6.0000000000 5.6492292944
6.1000000000 5.6145829731
6.2000000000 5.5778123504
6.3000000000 5.5391079569
6.4000000000 5.4986480990
6.5000000000 5.4565995128
6.6000000000 5.4131179984
6.7000000000 5.3683490349
6.8000000000 5.3224283708
6.9000000000 5.2754825916
7.0000000000 5.2276296622
7.1000000000 5.1789794441
7.2000000000 5.1296341872
7.3000000000 5.0796889980
7.4000000000 5.0292322817
7.5000000000 4.9783461619
7.6000000000 4.9271068765
7.7000000000 4.8755851515
7.8000000000 4.8238465535
7.9000000000 4.7719518216
8.0000000000 4.7199571797
8.1000000000 4.6679146302
8.2000000000 4.6158722295
8.3000000000 4.5638743475
8.4000000000 4.5119619107
8.5000000000 4.4601726297
8.6000000000 4.4085412133
8.7000000000 4.3570995687
8.8000000000 4.3058769891
8.9000000000 4.2549003293
9.0000000000 4.2041941703
9.1000000000 4.1537809730
9.2000000000 4.1036812224
9.3000000000 4.0539135619
9.4000000000 4.0044949199
9.5000000000 3.9554406268
9.6000000000 3.9067645256
9.7000000000 3.8584790746
9.8000000000 3.8105954436
9.9000000000 3.7631236036
10.0000000000 3.7160724110

