mid-top particle
0.0000000000 300.0000000000
0.1000000000 300.0000000000
0.2000000000 300.0000000000
0.3000000000 300.0000000001
0.4000000000 300.0000000294
0.5000000000 300.0000015446
0.6000000000 300.0000248742
0.7000000000 300.0001942154
0.8000000000 300.0009433439
0.9000000000 300.0033015861
1.0000000000 300.0091299453
1.1000000000 300.0211963342
1.2000000000 300.0430670374
1.3000000000 300.0788646395
1.4000000000 300.1329679747
1.5000000000 300.2097191481
1.6000000000 300.3131784046
1.7000000000 300.4469443425
1.8000000000 300.6140405018
1.9000000000 300.8168600651
2.0000000000 301.0571565689
2.1000000000 301.3360680849
2.2000000000 301.6541636849
2.3000000000 302.0115030705
2.4000000000 302.4077024131
2.5000000000 302.8420013893
2.6000000000 303.3133280105
2.7000000000 303.8203590929
2.8000000000 304.3615751525
2.9000000000 304.9353091767
3.0000000000 305.5397891831
3.1000000000 306.1731747798
3.2000000000 306.8335881197
3.3000000000 307.5191397485
3.4000000000 308.2279498824
3.5000000000 308.9581656594
3.6000000000 309.7079748875
3.7000000000 310.4756167756
3.8000000000 311.2593900923
3.9000000000 312.0576591511
4.0000000000 312.8688579742
4.1000000000 313.6914929427
4.2000000000 314.5241442025
4.3000000000 315.3654660534
4.4000000000 316.2141865205
4.5000000000 317.0691062734
4.6000000000 317.9290970355
4.7000000000 318.7930996002
4.8000000000 319.6601215549
4.9000000000 320.5292347932
5.0000000000 321.3995728840
5.1000000000 322.2703283524
5.2000000000 323.1407499183
5.3000000000 324.0101397283
5.4000000000 324.8778506103
5.5000000000 325.7432833737
5.6000000000 326.6058841728
5.7000000000 327.4651419469
5.8000000000 328.3205859472
5.9000000000 329.1717833569
6.0000000000 330.0183370100
6.1000000000 330.8598832108
6.2000000000 331.6960896551
6.3000000000 332.5266534542
6.4000000000 333.3512992584
6.5000000000 334.1697774802
6.6000000000 334.9818626137
6.7000000000 335.7873516469
6.8000000000 336.5860625645
6.9000000000 337.3778329370
7.0000000000 338.1625185929
7.1000000000 338.9399923694
7.2000000000 339.7101429398
7.3000000000 340.4728737110
7.4000000000 341.2281017903
7.5000000000 341.9757570158
7.6000000000 342.7157810477
7.7000000000 343.4481265178
7.8000000000 344.1727562326
7.9000000000 344.8896424273
8.0000000000 345.5987660688
8.1000000000 346.3001162027
8.2000000000 346.9936893445
8.3000000000 347.6794889087
8.4000000000 348.3575246773
8.5000000000 349.0278123022
8.6000000000 349.6903728410
8.7000000000 350.3452323241
8.8000000000 350.9924213497
8.9000000000 351.6319747073
9.0000000000 352.2639310255
9.1000000000 352.8883324442
9.2000000000 353.5052243085
9.3000000000 354.1146548839
9.4000000000 354.7166750908
9.5000000000 355.3113382571
9.6000000000 355.8986998879
9.7000000000 356.4788174511
9.8000000000 357.0517501776
9.9000000000 357.6175588760
10.0000000000 358.1763057596

